latitude,longitude,temperature,precipitation,soil_ph,soil_organic_matter,elevation,slope,current_land_use,vegetation_cover,population_density,distance_to_roads,is_suitable,ghg_reduction
-15.7801,35.0056,25.5,850,6.2,3.5,450,5.2,cropland,0.45,120,2.5,1,45.8
-15.8234,35.1123,24.8,920,5.8,2.8,520,8.1,grassland,0.65,85,4.2,1,52.3
-15.7456,34.9876,26.1,780,6.5,4.1,380,3.5,forest,0.85,45,6.8,0,38.9
-15.8901,35.2345,23.9,1050,5.5,2.2,680,12.3,barren,0.15,200,1.2,0,25.6
-15.6789,34.8765,27.2,720,7.1,3.8,320,2.8,cropland,0.55,150,3.5,1,48.7
-15.9123,35.3456,22.5,1200,6.0,3.2,750,15.6,grassland,0.75,60,5.5,1,58.9
-15.7567,35.0234,25.8,880,6.3,3.6,480,6.5,mixed_forest,0.92,30,8.2,1,62.4
-15.8345,35.1567,24.2,950,5.9,2.5,550,9.8,shrubland,0.35,110,3.8,0,35.2
-15.7012,34.9123,26.5,750,6.8,4.5,350,4.2,cropland,0.48,180,2.1,1,50.5
-15.8678,35.2789,23.1,1100,5.7,2.9,710,13.5,grassland,0.68,75,4.8,1,55.7
-15.7234,34.9567,26.8,700,7.3,3.9,300,2.5,forest,0.88,40,7.5,1,65.3
-15.8456,35.1789,24.5,900,6.1,3.0,530,7.8,cropland,0.52,130,3.2,1,47.9
-15.7789,35.0345,25.2,870,6.4,3.7,460,5.8,mixed_forest,0.95,25,9.1,1,68.2
-15.8123,35.1234,24.9,930,5.6,2.6,540,8.5,shrubland,0.38,95,4.5,0,32.8
-15.7345,34.9789,26.3,760,6.9,4.2,370,3.8,cropland,0.50,160,2.8,1,49.6
-15.8567,35.2456,23.5,1080,5.8,3.1,690,14.2,grassland,0.72,65,5.2,1,57.3
-15.7678,35.0123,25.6,860,6.2,3.5,470,6.2,forest,0.90,35,8.8,1,63.8
-15.8234,35.1456,24.7,940,6.0,2.7,560,9.2,cropland,0.47,140,3.6,1,46.5
-15.7123,34.9345,26.7,730,7.2,4.0,330,3.2,mixed_forest,0.93,50,6.9,1,61.7
-15.8789,35.2678,22.8,1150,5.4,2.4,730,16.5,barren,0.12,220,0.9,0,22.4
-15.7456,34.9901,26.0,790,6.6,4.3,390,4.5,cropland,0.53,170,2.4,1,51.2
-15.8345,35.1678,24.3,960,5.9,2.8,570,10.5,grassland,0.70,80,4.9,1,54.8
-15.7567,35.0456,25.4,890,6.3,3.8,490,7.2,forest,0.87,45,7.8,1,60.5
-15.8901,35.2901,23.0,1120,5.6,2.6,720,15.8,shrubland,0.32,190,1.5,0,28.9
-15.6789,34.8901,27.0,740,7.0,3.7,340,3.5,cropland,0.49,155,3.0,1,47.3
